2025-06-26 20:43:07.166 [main] INFO  [5e99a0ad-4ef0-4012-bbd9-4cade06bee6c] d.m.r.core.engine.config.RulesEngine - Configuration [RulesEngine]: Initialized with configuration: RulesEngineConfiguration
2025-06-26 20:43:07.197 [main] INFO  [5e99a0ad-4ef0-4012-bbd9-4cade06bee6c] d.m.r.core.engine.config.RulesEngine - Executing 1 rules
2025-06-26 20:43:07.206 [main] INFO  [5e99a0ad-4ef0-4012-bbd9-4cade06bee6c] d.m.r.core.engine.config.RulesEngine - Rule matched: Validation Rule for ageValidator
2025-06-26 20:43:07.207 [main] INFO  [5e99a0ad-4ef0-4012-bbd9-4cade06bee6c] d.m.r.core.engine.config.RulesEngine - Executing 1 rules
2025-06-26 20:43:07.208 [main] INFO  [5e99a0ad-4ef0-4012-bbd9-4cade06bee6c] d.m.r.core.engine.config.RulesEngine - No rules matched
2025-06-26 20:43:07.211 [main] INFO  [e8422d7f-206b-4f7a-9589-1ff2a2039f18] d.m.r.core.engine.config.RulesEngine - Configuration [RulesEngine]: Initialized with configuration: RulesEngineConfiguration
2025-06-26 20:43:07.213 [main] INFO  [e8422d7f-206b-4f7a-9589-1ff2a2039f18] d.m.r.core.engine.config.RulesEngine - Executing 1 rules
2025-06-26 20:43:07.214 [main] INFO  [e8422d7f-206b-4f7a-9589-1ff2a2039f18] d.m.r.core.engine.config.RulesEngine - Rule matched: AgeRule
2025-06-26 20:43:07.214 [main] INFO  [e8422d7f-206b-4f7a-9589-1ff2a2039f18] d.m.r.core.engine.config.RulesEngine - Executing 1 rules
2025-06-26 20:43:07.215 [main] INFO  [e8422d7f-206b-4f7a-9589-1ff2a2039f18] d.m.r.core.engine.config.RulesEngine - No rules matched
2025-06-26 20:43:07.217 [main] INFO  [34cc35d1-883e-4fdf-983f-a233bd68d4f6] d.m.r.core.engine.config.RulesEngine - Configuration [RulesEngine]: Initialized with configuration: RulesEngineConfiguration
2025-06-26 20:43:07.219 [main] INFO  [34cc35d1-883e-4fdf-983f-a233bd68d4f6] d.m.r.core.engine.config.RulesEngine - Executing 1 rules
2025-06-26 20:43:07.220 [main] INFO  [34cc35d1-883e-4fdf-983f-a233bd68d4f6] d.m.r.core.engine.config.RulesEngine - Rule matched: DiscountRule
2025-06-26 20:43:07.259 [main] INFO  [a507028e-8639-4987-9e4f-6069dcca9c0b] d.m.r.core.engine.config.RulesEngine - Configuration [RulesEngine]: Initialized with configuration: RulesEngineConfiguration
2025-06-26 20:43:07.260 [main] INFO  [a507028e-8639-4987-9e4f-6069dcca9c0b] d.m.r.core.engine.config.RulesEngine - Executing 1 rules
2025-06-26 20:43:07.261 [main] INFO  [a507028e-8639-4987-9e4f-6069dcca9c0b] d.m.r.core.engine.config.RulesEngine - Rule matched: AgeRule
2025-06-26 20:43:07.261 [main] INFO  [a507028e-8639-4987-9e4f-6069dcca9c0b] d.m.r.core.engine.config.RulesEngine - Executing 1 rules
2025-06-26 20:43:07.261 [main] INFO  [a507028e-8639-4987-9e4f-6069dcca9c0b] d.m.r.core.engine.config.RulesEngine - No rules matched
2025-06-26 20:43:07.262 [main] INFO  [20e82403-ed02-4606-8ade-b2c679fec311] d.m.r.core.engine.config.RulesEngine - Configuration [RulesEngine]: Initialized with configuration: RulesEngineConfiguration
2025-06-26 20:43:07.268 [main] INFO  [812261cf-d7a7-40c1-995f-f01b37e633e2] d.m.r.core.engine.config.RulesEngine - Configuration [RulesEngine]: Initialized with configuration: RulesEngineConfiguration
2025-06-26 20:43:07.273 [main] INFO  [50f8971b-2c58-4821-a229-c13befcc62bb] d.m.r.core.engine.config.RulesEngine - Configuration [RulesEngine]: Initialized with configuration: RulesEngineConfiguration
2025-06-26 20:43:07.275 [main] INFO  [50f8971b-2c58-4821-a229-c13befcc62bb] d.m.r.core.engine.config.RulesEngine - Executing 1 rule groups
2025-06-26 20:43:07.278 [main] INFO  [50f8971b-2c58-4821-a229-c13befcc62bb] d.m.r.core.engine.config.RulesEngine - Rule group matched: AdultWithSufficientIncome
2025-06-26 20:43:07.279 [main] INFO  [50f8971b-2c58-4821-a229-c13befcc62bb] d.m.r.core.engine.config.RulesEngine - Executing 1 rule groups
2025-06-26 20:43:07.279 [main] INFO  [50f8971b-2c58-4821-a229-c13befcc62bb] d.m.r.core.engine.config.RulesEngine - No rule groups matched
